Name,Height ft
pine tree,50
african elephant,10.5
rhinoceros,5
hippopotamus,4.75
giraffe,17
walrus,3
american bison,5.75
cow,5
saltwater crocodile,1
wild yak,6.2
Abraham Lincoln,6.3333333
Lyndon Johnson,6.25
Thomas Jefferson,6.208333
George Washington,6.1666667
Franklin D. Roosevelt,6.1666667
George H.W. Bush,6.1666667
Bill Clinton,6.1666667
Andrew Jackson,6.0833333
Chester Arthur,6.0833333
Ronald Reagan,6.0833333
Barack Obama,6.0833333
Donald Trump,6.0833333
James Madison,5.33333
Benjamin Harrison,5.5
Martin Van Buren,5.5
John Quincy Adams,5.583
John Adams,5.583
William McKinley,5.583
Zachary Taylor,5.6667
James Knox Polk,5.6667
William Henry Harrison,5.6667
Ulysses S. Grant,5.6667
Rutherford B. Hayes,5.6667
Great Pyramid,455.4

Ankylosaurus (armored lizard),7
Camptosaurus (bent lizard),10
Chasmosaurus (cleft lizard),6
Claosaurus (broken lizard),6
Corythosaurus (helmet lizard),16
Dravidosaurus (Dravidanadu lizard),4
Dryosaurus (oak lizard),6
Euoplocephalus (well-armored head),4
Hadrosaurus (bulky lizard),15
Hypsilophodon (high-crested tooth),3
Iguanodon (iguana tooth),18
Kentrosaurus (spiky lizard),5
Lambeosaurus (Lamb's lizard),18
Nodosaurus (node lizard),6
Ouranosaurus (brave monitor lizard),10
Pachycephalosaurus (thick-headedlizard),10
Protoceratops (first horned face),2
Shantungosaurus (Shanshan lizard),25
Styracosaurus (spiked lizard),7
Stegosaurus (plated lizard),11
Tenontosaurus (tendon lizard),10
Torosaurus (bull lizard),7
Triceratops (three-horned face),9.5
Acrocanthosaurus (top-spined lizard),19
Albertosaurus (Alberta lizard),15
Allosaurus (other lizard),17
Apatosaurus (deceptive lizard),15
Archaeopteryx (ancient wing),1
Argentinosaurus (Argentina lizard),70
Baryonyx (heavy claws),6
Brachiosaurus (arm lizard),50
Ceratosaurus (horned lizard),13
Coelophysis (hollow form),3
Compsognathus (elegant jaw),2
Deinonychus (terrible claw),5
Diplodocus (double beam),24
Dromiceiomimus (emu mimic),5
Gallimimus (fowlmimic),8
Mamenchisaurus (Mamenchi lizard),35
Megalosaurus (big lizard),12
Microvenator (small hunter),2.5
Ornithomimus (bird mimic),8
Oviraptor (egg robber),3
Plateosaurus (flat lizard),7
Saurornithoides (narrow-clawed lizard),3
Seismosaurus (tremor lizard),84
Spinosaurus (spiny lizard),8
Supersaurus (super lizard),66
Tyrannosaurus (tyrant lizard),23
Ultrasauros (ultra lizard),53
Velociraptor (swift robber),2
