Item,Length(ft)
football,0.916667
wild yak,9.6
saltwater crocodile,16
cow,7
american bison,6
walrus,9.75
giraffe,12.375
hippopotamus,4.75
rhinoceros,11.5
african elephant,20
Ankylosaurus (armored lizard),35
Camptosaurus (bent lizard),23
Chasmosaurus (cleft lizard),17
Claosaurus (broken lizard),12
Corythosaurus (helmet lizard),30
Dravidosaurus (Dravidanadu lizard),10
Dryosaurus (oak lizard),13
Euoplocephalus (well-armored head),17
Hadrosaurus (bulky lizard),30
Hypsilophodon (high-crested tooth),7.5
Iguanodon (iguana tooth),30
Kentrosaurus (spiky lizard),17
Lambeosaurus (Lamb's lizard),30
Nodosaurus (node lizard),18
Ouranosaurus (brave monitor lizard),23
Pachycephalosaurus (thick-headedlizard),18
Protoceratops (first horned face),6
Shantungosaurus (Shanshan lizard),51
Styracosaurus (spiked lizard),17
Stegosaurus (plated lizard),30
Tenontosaurus (tendon lizard),23
Torosaurus (bull lizard),21
Triceratops (three-horned face),26
Acrocanthosaurus (top-spined lizard),40
Albertosaurus (Alberta lizard),30
Allosaurus (other lizard),40
Apatosaurus (deceptive lizard),75
Archaeopteryx (ancient wing),3
Argentinosaurus (Argentina lizard),120
Baryonyx (heavy claws),30
Brachiosaurus (arm lizard),100
Ceratosaurus (horned lizard),20
Coelophysis (hollow form),9
Compsognathus (elegant jaw),3
Deinonychus (terrible claw),9
Diplodocus (double beam),89
Dromiceiomimus (emu mimic),11
Gallimimus (fowlmimic),18
Mamenchisaurus (Mamenchi lizard),69
Megalosaurus (big lizard),26
Microvenator (small hunter),4
Ornithomimus (bird mimic),15
Oviraptor (egg robber),5
Plateosaurus (flat lizard),26
Saurornithoides (narrow-clawed lizard),6.5
Seismosaurus (tremor lizard),150
Spinosaurus (spiny lizard),40
Supersaurus (super lizard),100
Tyrannosaurus (tyrant lizard),50
Ultrasauros (ultra lizard),100
Velociraptor (swift robber),6
