Object,Weight(lbs)
12-pack of soda,10
keg of beer,160
2019 dodge charger,3934
tuba,25
Statue of Liberty,450000
fire truck,48000
mouse,0.0425
golden delicious apple,0.46875
egg,0.125
football,0.90625
golf ball,0.10125
fish tank full of water,111
grand piano,600
pine tree,2000
african elephant,24000
rhinoceros,9000
hippopotamus,7000
giraffe,5100
walrus,5000
american bison,3800
cow,3747
saltwater crocodile,2370
wild yak,2200
BIC lighter,0.055625
planet the size of Saturn,1252928923826474
twenty dollar bill,0.001875
nickel,0.0110231
penny,0.00551156
dime,0.0050000841
quarter,0.0125
one dollar bill,0.00220462
burger king double whopper,0.25
Merriam Webster's Collegiate Dictionary,2.5
road bike,21
first commercially-available cell phone,2
human liver,3.25
human skin,12
average human skeleton,25.25
human brain,2.5
container of all of a single human's blood,11.445
adult human,137
human lungs,1.8
human heart,0.25
human kidney,0.286601
human spleen,0.0125
human pancreas,0.154324
human prostate,0.0242508
U.S. President Dwight D Eisenhower,172
U.S. President William Howard Taft,332 
U.S. President Grover Cleveland,275 
U.S. President William McKinley,233 
U.S. President Zachary Taylor,230 
U.S. President Theodore Roosevelt,237 
U.S. President Donald Trump,245 
U.S. President Chester A. Arthur,238 
U.S. President Bill Clinton,234 
U.S. President Herbert Hoover,220 
U.S. President John Quincy Adams,203 
U.S. President James Buchanan,217 
U.S. President James Madison,122 
U.S. President Andrew Jackson,154 
U.S. President John Tyler,160 
U.S. President Franklin Pierce,162 
U.S. President William Henry Harrison,162 
U.S. President Calvin Coolidge,166 
U.S. President Abraham Lincoln,185 
U.S. President Thomas Jefferson,181 
U.S. President Barack Obama,180 
U.S. President John F. Kennedy,182 
